Threshold,Precision,Recall,F1 Score,Accuracy
0.1,0.4394904458598726,1.0,0.6106194690265486,0.4430379746835443
0.15000000000000002,0.4503311258278146,0.9855072463768116,0.6181818181818182,0.46835443037974683
0.20000000000000004,0.4962962962962963,0.9710144927536232,0.6568627450980392,0.5569620253164557
0.25000000000000006,0.5365853658536586,0.9565217391304348,0.6875,0.620253164556962
0.30000000000000004,0.5700934579439252,0.8840579710144928,0.6931818181818182,0.6582278481012658
0.3500000000000001,0.6105263157894737,0.8405797101449275,0.7073170731707317,0.6962025316455697
0.40000000000000013,0.6547619047619048,0.7971014492753623,0.7189542483660131,0.7278481012658228
0.45000000000000007,0.6619718309859155,0.6811594202898551,0.6714285714285714,0.7088607594936709
0.5000000000000001,0.7288135593220338,0.6231884057971014,0.671875,0.7341772151898734
0.5500000000000002,0.7659574468085106,0.5217391304347826,0.6206896551724138,0.7215189873417721
